id,canonical_name,site,context,findspot,support,scribe,linear_a_text,linear_a_text_with_linebreaks,transliteration_text,gloss_text,image_rights,image_rights_url,source_dataset,undeciphered_language_notice
KNWc42,KNWc42,Knossos,,,Roundel,,𐝫𐘅𐘵,𐝫𐘅𐘵,NA O,NA O,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNWc43,KNWc43,Knossos,,,Roundel,,𐝫𐄁𐝫,𐝫𐝫𐄁𐝫,𐝫 𐄁,𐝫 𐄁,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNWc48,KNWc48,Knossos,,,Roundel,,𐝫𐘃𐝫,𐝫𐘃𐝫,TE,TE,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZa10,KNZa10,Knossos,LMIA,,Stone vessel,,"𐝫𐘳𐘯𐘕𐘠𐄁𐘱𐘞𐘞𐘴𐙁
𐘅𐄁𐘀𐘮𐝫𐄁𐝫𐘬𐘮𐘄𐄁𐘚𐘱𐝫","𐝫𐘳𐘯𐘕𐘠𐄁𐘱𐘞𐘞𐘴𐙁
𐘅𐄁𐘀𐘮𐝫𐄁𐝫𐘬𐘮𐘄𐄁𐘚𐘱𐝫","TA-NU-MU-TI 𐄁 JA-SA-SA-RA-MA 
 NA 𐄁 DA-WA 𐄁 DU-WA-TO 𐄁 I-JA","TA-NU-MU-TI 𐄁 this dedication 
 NA 𐄁 DA-WA 𐄁 DU-WA-TO 𐄁 I-JA",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=51,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZa17,KNZa17,Knossos,,,Stone vessel,,𐝫𐘱𐘿𐄁,𐝫𐘱𐘿𐄁,JA-QE 𐄁,JA-QE 𐄁,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=53,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZa18,KNZa18,Knossos,,,Stone vessel,,𐝫𐄁𐝫𐘱𐄁𐝫𐄁𐝫𐘱𐄁𐘱𐘮𐝫𐄁𐝫,𐝫𐄁𐝫𐘱𐄁𐝫𐄁𐝫𐘱𐄁𐘱𐘮𐝫𐄁𐝫,𐄁 JA 𐄁 𐝫 𐄁 JA 𐄁 JA-WA 𐄁,𐄁 JA 𐄁 𐝫 𐄁 JA 𐄁 JA-WA 𐄁,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=55,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZa19,KNZa19,Knossos,,,Stone vessel,,"𐝫𐘥𐘶𐘻𐝫𐄁𐝫
—
𐝫𐙈𐘻𐘅","𐝫𐘥𐘶𐘻𐝫𐄁𐝫
—
𐝫𐙈𐘻𐘅","KE-JU-MI 𐄁 
 — 
 *118-MI-NA","KE-JU-MI 𐄁 
 — 
 *118-MI-NA",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=57,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb20,KNZb20,Knossos,LMIA,,Clay vessel,,𐝫𐘅𐘇𐘰,𐝫𐘅𐘇𐘰,NA-A-PA₃,NA-A-PA₃,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=119,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb34,KNZb34,Knossos,,,Clay vessel,,𐛻,𐛻,VIN+TE,wine,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=121,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb35,KNZb35,Knossos,,,Clay vessel,,𐝫𐘱𐝫𐘆𐝫𐘣𐝫𐙖𐄙𐘝𐄈,"𐝫𐘱𐝫𐘆𐝫𐘣𐝫𐝫𐙖𐄙
𐘝𐄈","JA-DI-WI OLE 100 
 NI 2","JA-DI-WI olive oil 100 
 figs 2",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=122,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb4,KNZb4,Knossos,,,Clay vessel,,𐝫𐘶𐄁𐘱𐘤𐄁𐘤𐝫,𐝫𐘶𐄁𐘱𐘤𐄁𐘤𐝫,JU 𐄁 JA-SI 𐄁 SI,flour 𐄁 JA-SI 𐄁 SI,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=117,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb40,KNZb40,Knossos,,,Clay vessel,,"𐘇𐘂𐘸
𐘉𐘅𐘇","𐘇𐘂𐘸
𐘉𐘅𐘇","A-PA-KI 
 U-NA-A","A-PA-KI 
 U-NA-A",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb5,KNZb5,Knossos,MMIIIB,,Clay vessel,,𐘇𐘹𐘭𐘤𐘠𐄁,𐘇𐘹𐘭𐘤𐘠𐄁,A-TU-RI-SI-TI 𐄁,"(KN Zb 5), ""from"" TU-RI-SA 𐄁",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=118,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb52,KNZb52,Knossos,LMIA,,Clay vessel,,𐙀𐘭𐘝𐙁,𐙀𐘭𐘝𐙁,ZU-RI-NI-MA,ZU-RI-NI-MA,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb56,KNZb56,Knossos,,,Clay vessel,,𐘁𐛧,𐘁𐛧,RO-VIR+KA,RO-VIR+KA,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb<27>,KNZb<27>,Knossos,MMIIIB,,Clay vessel,,𐘆𐘅𐘉𐄁𐙍𐄐𐄍,𐘆𐘅𐘉𐄁𐙍𐄐𐄍,DI-NA-U 𐄁 VIN 17,DI-NA-U 𐄁 wine 17,,papers/GORILA-Vol4.pdf#page=120,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb<36>,KNZb<36>,Knossos,,,Clay vessel,,𐙍,𐙍,VIN,wine,,papers/GORILA-Vol4.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb<37>,KNZb<37>,Knossos,,,Clay vessel,,𐙍,𐙍,VIN,wine,,papers/GORILA-Vol4.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb<38>,KNZb<38>,Knossos,,,Clay vessel,,𐙍,𐙍,VIN,wine,,papers/GORILA-Vol4.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZb<39>,KNZb<39>,Knossos,,,Clay vessel,,𐘝,𐘝,NI,figs,,papers/GORILA-Vol4.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZc6,KNZc6,Knossos,,,Inked inscription,,"𐘟𐘠𐘭
𐘇𐘆𐘀𐘸𐘠𐘂𐙂𐄁𐘝𐘱𐘯𐄁
𐘶𐙂𐘅𐘂𐙂𐘯𐘉𐝫𐘚𐙀𐄁","𐘟𐘠𐘭𐘇𐘆𐘀𐘸𐘠𐘂𐙂𐄁
𐘝𐘱𐘯𐄁
𐘶𐙂𐘅𐘂𐙂𐘯𐘉𐝫𐘚𐙀𐄁","*34-TI-RI-A-DI-DA-KI-TI-PA-KU 𐄁 
 NI-JA-NU 𐄁 
 JU-KU-NA-PA-KU-NU-U-I-ZU 𐄁","*34-TI-RI-A-DI-DA-KI-TI-PA-KU 𐄁 
 NI-JA-NU 𐄁 
 JU-KU-NA-PA-KU-NU-U-I-ZU 𐄁",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=162,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZc7,KNZc7,Knossos,,,Inked inscription,,"𐘇𐘾𐘯𐘍𐘠𐄁𐘬𐘴𐘙𐄁𐘇𐙀𐘴𐄁
𐘱𐘞𐘴𐘇𐘅𐘗𐄁𐘣𐘢𐝫𐄁𐝫","𐘇𐘾𐘯𐘍𐘠𐄁𐘬𐘴𐘙𐄁𐘇𐙀𐘴𐄁
𐘱𐘞𐘴𐘇𐘅𐘗𐄁𐘣𐘢𐝫𐄁𐝫","A-KA-NU-ZA-TI 𐄁 DU-RA-RE 𐄁 A-ZU-RA 𐄁 
 JA-SA-RA-A-NA-NE 𐄁 WI-PI 𐄁","A-KA-NU-ZA-TI 𐄁 DU-RA-RE 𐄁 A-ZU-RA 𐄁 
 JA-SA-RA-A-NA-NE 𐄁 WI-PI 𐄁",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=166,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZd46,KNZd46,Knossos,,,Graffito,,𐝫𐘫𐝫,𐝫𐘫𐝫,PU,PU,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZe16,KNZe16,Knossos,,,Architecture,,𐘇𐘢,𐘇𐘢,A-PI,A-PI,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=180,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZe44,KNZe44,Knossos,,,Architecture,,𐘚𐝫𐘮𐘱,𐘚𐝫𐘮𐘱,I-WA-JA,I-WA-JA,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZe45,KNZe45,Knossos,,,Architecture,,𐘾𐘤𐘇𐘃,𐘾𐘤𐘇𐘃,KA-SI-A-TE,KA-SI-A-TE,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZe49,KNZe49,Knossos,,,Architecture,,𐘥𐘤𐘃,𐘥𐘤𐘃,KE-SI-TE,KE-SI-TE,Owens,papers/KNZe49.pdf,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZe56,KNZe56,Knossos,,,Architecture,,𐘵𐘀𐝫,𐘵𐘀𐝫,O-DA,O-DA,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZf13,KNZf13,Knossos,LMIA,,Metal object,,𐘇𐘙𐘗𐘤𐘆𐙕𐘢𐘥𐘂𐘱𐘳𐘭𐘈𐘃𐘭𐘕𐘇𐘱𐙂,𐘇𐘙𐘗𐘤𐘆𐙕𐘢𐘥𐘂𐘱𐘳𐘭𐘈𐘃𐘭𐘕𐘇𐘱𐙂,A-RE-NE-SI-DI-*301-PI-KE-PA-JA-TA-RI-SE-TE-RI-MU-A-JA-KU,A-RE-NE-SI-DI-*301-PI-KE-PA-JA-TA-RI-SE-TE-RI-MU-A-JA-KU,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=194,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZf31,KNZf31,Knossos,,,Metal object,,𐝫𐘤𐝫𐘤𐘍𐘗𐙠𐄁𐘀𐘬𐘻𐘗𐄁𐘌𐘻𐘨𐘅𐘴𐄁𐘇𐘮𐘢𐄁𐘃𐘲𐘦𐘈𐘥𐘚𐄁𐘇𐘀𐘴𐄁𐘠𐘆𐘃𐘌𐘠𐄁𐘳𐘞𐘍𐄁𐘳𐘃𐘚𐘥𐘍𐘙𐄁𐝫,𐝫𐘤𐝫𐘤𐘍𐘗𐙠𐄁𐘀𐘬𐘻𐘗𐄁𐘌𐘻𐘨𐘅𐘴𐄁𐘇𐘮𐘢𐄁𐘃𐘲𐘦𐘈𐘥𐘚𐄁𐘇𐘀𐘴𐄁𐘠𐘆𐘃𐘌𐘠𐄁𐘳𐘞𐘍𐄁𐘳𐘃𐘚𐘥𐘍𐘙𐄁𐝫,SI-SI-ZA-NE-*310 𐄁 DA-DU-MI-NE 𐄁 QA-MI-*47-NA-RA 𐄁 A-WA-PI 𐄁 TE-SU-DE-SE-KE-I 𐄁 A-DA-RA 𐄁 TI-DI-TE-QA-TI 𐄁 TA-SA-ZA 𐄁 TA-TE-I-KE-ZA-RE 𐄁,SI-SI-ZA-NE-*310 𐄁 DA-DU-MI-NE 𐄁 QA-MI-*47-NA-RA 𐄁 A-WA-PI 𐄁 TE-SU-DE-SE-KE-I 𐄁 A-DA-RA 𐄁 TI-DI-TE-QA-TI 𐄁 TA-SA-ZA 𐄁 TA-TE-I-KE-ZA-RE 𐄁,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=196,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZg55,KNZg55,Knossos,LMI,,Stone object,,𐘱𐘞𐘱,𐘱𐘞𐘱,JA-SA-JA,JA-SA-JA,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZg57a,KNZg57a,Knossos,,,ivory object,,𐜪𐜪𐜫𐜩𐜶𐝫𐝫𐝫𐝫𐘝𐝫𐝫𐝫𐝫𐚪𐝫𐝫,𐜪𐜪𐜫𐜩𐜶𐝫𐝫𐝫𐝫𐘝𐝫𐝫𐝫𐝫𐚪𐝫𐝫,*401+RU *652 *653 *401+RU *418+L2 𐝫 𐝫 𐝫 𐝫 NI 𐝫 𐝫 𐝫 𐝫 VAS 𐝫 𐝫,*401+RU *652 *653 *401+RU *418+L2 𐝫 𐝫 𐝫 𐝫 NI 𐝫 𐝫 𐝫 𐝫 VAS 𐝫 𐝫,Ph Saperstein,papers/KNZg57.pdf,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZg57b,KNZg57b,Knossos,,,ivory object,,𐜪𐜪𐜫𐜩𐜶𐝫𐝫𐝫𐝫𐘝𐝫𐝫𐝫𐝫𐚪𐝫𐝫,𐜪𐜪𐜫𐜩𐜶𐝫𐝫𐝫𐝫𐘝𐝫𐝫𐝫𐝫𐚪𐝫𐝫,,,Ph Saperstein,https://ejournals.lib.uoc.gr/Ariadne/article/view/1841/1751,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZg58,KNZg58,Knossos,,,ivory object,,,,,,Ph Saperstein,https://ejournals.lib.uoc.gr/Ariadne/article/view/1841/1751,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNZg<21>,KNZg<21>,Knossos,LMIA,,Stone object,,𐛈,𐛈,*528,*528,,papers/GORILA-Vol4.pdf#page=206,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KNsceau,KNsceau,Knossos,,,Tablet,,,,,,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KO(?)Zf2,KO(?)Zf2,Kophinas,,,Metal object,,𐘇𐘴𐘺𐙂𐘌𐘮𐘞𐘄𐙁𐘁𐙄𐘳𐘦𐘊𐘝𐘍,𐘇𐘴𐘺𐙂𐙀𐘮𐘞𐘄𐙁𐘁𐙄𐘳𐘦𐘊𐘝𐘍,A-RA-KO-KU-ZU-WA-SA-TO-MA-RO-AU-TA-DE-PO-NI-ZA,A-RA-KO-KU-ZU-WA-SA-TO-MA-RO-AU-TA-DE-PO-NI-ZA,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KOZa1,KOZa1,Kophinas,,,Stone vessel,,"𐘇𐘳𐘚𐙕𐘮𐘱
𐘹𐘘𐘞𐄁𐘬𐙦𐘙𐄁𐘚𐘀
𐘇𐄁𐘉𐘅𐘾𐘅𐘤𐄁𐘚
𐘢𐘅𐙁𐄁𐘤𐘘𐘃","𐘇𐘳𐘚𐙕𐘮𐘱
𐘹𐘘𐘞𐄁𐘬𐙦𐘙𐄁𐘚𐘀𐘇𐄁
𐘉𐘅𐘾𐘅𐘤𐄁
𐘚𐘢𐘅𐙁𐄁𐘤𐘘𐘃","A-TA-I-*301-WA-JA 
 TU-RU-SA 𐄁 DU-*314-RE 𐄁 I-DA-A 𐄁 
 U-NA-KA-NA-SI 𐄁 
 I-PI-NA-MA 𐄁 SI-RU-TE","gives 
 TU-RU-SA 𐄁 DU-*314-RE 𐄁 I-DA-A 𐄁 
 requesting 𐄁 
 a favour 𐄁 divine",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=60,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KYZa2,KYZa2,Kythera,,,Stone vessel,,𐘀𐙁𐘃,𐘀𐙁𐘃,DA-MA-TE,DA-MA-TE,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
KYZg1,KYZg1,Kythera,LMIA,,Stone object,,𐛴,𐛴𐛴,GRA+E,GRA+E,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=208,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
LACHZa1,LACHZa1,Larani,,,Stone vessel,,𐘻𐄁𐘭𐘀𐘉𐄁𐘈𐝕,𐘻𐄁𐘭𐘀𐘉𐄁𐘈𐝕,MI 𐄁 RI-DA-U 𐄁 SE-JE,liquid? 𐄁 RI-DA-U 𐄁 SE-JE,Finkelberg,papers/LACHZa1.pdf,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
LAZb1(bis),LAZb1(bis),Larani,,,Clay vessel,,𐘱𐘠𐘹𐙂,𐘱𐘠𐘹𐙂,JA-TI-TU-KU,JA-TI-TU-KU,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA10a,MA10a,Malia,,,4-sided bar,,𐝫𐘘𐄁𐜲𐄈𐜰𐄊𐜱𐄊𐝫,"𐝫𐘘𐄁𐜲𐄈
𐜰𐄊
𐜱𐄊𐝫","RU 𐄁 *413+SU 2 
 *412+E 4 
 *659 4","RU 𐄁 *413+SU 2 
 *412+E 4 
 *659 4",© École Française d'Athènes,papers/GORILA-Vol5.pdf#page=103,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA10b,MA10b,Malia,,,4-sided bar,,"𐝫𐘬𐘢𐘃𐘮𐄁𐜭𐄇𐜰𐄉𐝫
𐝫𐄊𐜬𐄈𐛄𐄈𐝫","𐝫𐘬𐘢𐘃𐘮𐄁𐜭𐄇
𐜰𐄉
𐝫𐄊
𐜬𐄈
𐛄𐄈","DU-PI-TE-WA 𐄁 *405+Ω 1 
 *412+E 3 
 4 
 *402+A 2 
 TI+*412VAS 2","DU-PI-TE-WA 𐄁 *405+Ω 1 
 *412+E 3 
 4 
 *402+A 2 
 TI+*412VAS 2",© École Française d'Athènes,papers/GORILA-Vol5.pdf#page=104,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA10c,MA10c,Malia,,,4-sided bar,,𐝫𐜰𐄈𐜱𐄉𐚤𐝫,"𐝫𐜰𐄈
𐜱𐄉
𐚤𐝫","*412+E 2 
 *659 3 
 *404-VS","*412+E 2 
 *659 3 
 *404-VS",© École Française d'Athènes,papers/GORILA-Vol5.pdf#page=104,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA10d,MA10d,Malia,,,4-sided bar,,𐝫𐜴𐜳𐝫,"𐝫𐜴
𐜳","*414+F 
 *414+[ ]","*414+F 
 *414+[ ]",© École Française d'Athènes,papers/GORILA-Vol5.pdf#page=104,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA1a,MA1a,Malia,,,3-sided bar,,𐄂𐘚𐘬𐘣𐄁𐘨𐄁𐘿𐘦𐘻𐘯𐄁,"𐄂𐘚𐘬𐘣𐘨
𐘿𐘦𐘻𐘯𐄁","*903-I-DU-WI *47 
 QE-DE-MI-NU 𐄁","*903-I-DU-WI *47 
 QE-DE-MI-NU 𐄁",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=304,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA1b,MA1b,Malia,,,3-sided bar,,𐘇𐙁𐄁𐘨𐄁𐘿𐘦𐘻𐘯,"𐘇𐙁𐄁𐘨
𐘿𐘦𐘻𐘯","A-MA 𐄁 *47 
 QE-DE-MI-NU","A-MA 𐄁 *47 
 QE-DE-MI-NU",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=304,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA1c,MA1c,Malia,,,Tablet,,𐘠,𐘠,TI,TI,© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=304,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA2a,MA2a,Malia,,,3-sided bar,,𐝫𐘬𐘴𐄋,𐝫𐘬𐘴𐄋,DU-RA 5,DU-RA 5,© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=306,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA2b,MA2b,Malia,,,3-sided bar,,"𐝫𐘙𐘠𐄊𐝫
𐝫𐘠𐄇𐘱𐙂𐄈𐘠𐝫","𐝫𐘙𐘠𐄊
𐝫𐘠𐄇
𐘱𐙂𐄈
𐘠𐝫","RE-TI 4 
 TI 1 
 JA-KU 2 
 TI","RE-TI 4 
 TI 1 
 JA-KU 2 
 TI",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=306,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA2c,MA2c,Malia,,,3-sided bar,,"𐝫𐘉𐘅𐘅𐄉
𐝫𐘱𐙁𐘉𐘠𐄌","𐝫𐘉𐘅𐘅𐄉
𐝫𐘱𐙁𐘉𐘠𐄌","U-NA-NA 3 
 JA-MA-U-TI 6","U-NA-NA 3 
 JA-MA-U-TI 6",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=306,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA4a,MA4a,Malia,,,Tablet,,𐘳𐜅𐄐𐄋𐜆𐄙𐄑𐜄𐄔𐄉𐜃𐄒,"𐘳𐜅𐄐𐄋
𐜆𐄙𐄑
𐜄𐄔𐄉
𐜃𐄒","TA-HIDE+B 15 
 HIDE+L 120 
 HIDE+SA+L 53 
 HIDE+SA+B 30","TA-HIDE+B 15 
 HIDE+L 120 
 HIDE+SA+L 53 
 HIDE+SA+B 30",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=308,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA4b,MA4b,Malia,,,Tablet,,𐘇𐝫𐝫𐘱𐙒𐄙𐄑𐄉𐄙𐄕,"𐘇𐝫𐝫𐘱𐙒𐄙𐄑𐄉
𐄙𐄕","A-JA HIDE+[?] 123 
 160","A-JA hide? 123 
 160",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=308,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA6a,MA6a,Malia,,,Tablet,,𐝫𐙒𐝫𐄡𐄓𐄇𐜅𐄒𐄋,"𐝫𐙒𐝫𐄡𐄓𐄇
𐜅𐄒𐄋","HIDE+[?] 941 
 HIDE+B 35","hide? 941 
 HIDE+B 35",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=310,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA6b,MA6b,Malia,,,Tablet,,𐝫𐙒𐄞𐄑𐝫,𐝫𐙒𐄞𐄑𐝫,HIDE+[?] 620,hide? 620,© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=310,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA6c,MA6c,Malia,,,Tablet,,"𐝫𐜅𐄊𐝫𐙒𐄗𐄍𐝫
𐝫𐙒𐝫𐄚𐄒𐄉𐝫","𐝫𐜅𐄊𐝫
𐙒𐝫𐄗𐄍𐝫
𐝫𐙒𐝫𐄚𐄒𐄉𐝫","HIDE+B 4 
 HIDE+[?] 87 
 HIDE+[?] 233","HIDE+B 4 
 hide? 87 
 hide? 233",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=310,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA6d,MA6d,Malia,,,Tablet,,𐝫𐙒𐄚𐝫,𐝫𐙒𐄚𐝫,HIDE+[?] 200,hide? 200,© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=310,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MA9,MA9,Malia,MMIII,Malia Palace Room III 8,Tablet,,𐝫𐄣,𐝫𐄣,2000,2000,© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=314,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MARGWa1-26,MARGWa1-26,Margiana,,,Nodule,,𐘾,𐘾,KA,KA,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MAWc7,MAWc7,Malia,MMIIIB,Malia Palace Room III 8,Roundel,,𐙒,𐙒,HIDE+[?],hide?,,papers/GORILA-Vol2.pdf#page=148,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
MAWc<5>,MAWc<5>,Malia,,,Roundel,,"𐘇𐘞𐘀𐘾
𐛴𐄊","𐘇𐘞𐘀𐘾
𐛴𐄊","A-SA-DA-KA 
 GRA+E 4","A-SA-DA-KA 
 GRA+E 4",,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
